Column1,Column2
"Patch Set 1: ContactUs framework is fine as it is, but SamsungAccountSDK API changed drastically. Old APIs are replaced in Sample App.",API Calls
you may use fixed list of ids and list APIs to get true or false.,API Calls
Need to remove this api. Now have no plan to use this api.,API Calls
no use usedefaults directly... use store class as wrapper API,API Calls
"It includes TTL along with the data to store in User Defaults. For Insurer api, it is there to make new server request for latest data after TTL (current value : day in milis) and stores data and 'time to fetch' (updateTime) with SHMKeyString.",API Calls
"since this is async API, the return stmt won't wait for this block to complete.",API Calls
pls check if this API (which is not supported in iOS 9) is used elsewhere and let's fix together.,API Calls
Checked in whole project. API is used correctly in Other modules,API Calls
"may be in that case it will wait for connection timeout in that case. But if we check early, then it will not even call the server API.",API Calls
"This is a kind of data class. So, by default, I made getters and setters for all fields.
We provide our APIs for unspecific users. 
We don't know if they want to change a specific values after creating instance.
That's why I added getters and setters for all fields. 
If some getters and setters are missing, it is a fault or some case I have undetermined issues.",API Calls
"remove UserDefaults code here and add API in SGEsimSettingsProvider 
All the settings related task will be in settings provider.

All UserDefaults will be abstraction in settings provider class
\",API Calls
"SIngle lens should not have sphere stitch mode. If it is giving sphere stitch mode, then that is a bug - an important one, since it affects stitching engine too.",Defect
Wouldn't it stop automatically going back after video playing finished?,Defect
"Patch Set 1:

@zahidi, please pull the code and apply necessary changes in UI to avoid crashes.",Defect
Same error . Please correct line 15 and 16,Defect
"Local variable is supposed to be collected whenever control goes out of scope.
If you you face any null problem, you should have assigned nil to it instead of creating anOther instance.",Defect
"after translating in google it  says ""	
???? ?-%@ ???? ?? ?-%@?"" and app is not getting crash.",Defect
Please check for OOBE fail case. In this case this variable should be False.,Defect
"create two separate function 
1. for check file and create if not exists
2. check file size and append new content 
3. file size condition should be file_size + new_content_size <= 1000 then write in this current file, else erase data and write new content",Defect
"AlmofireAdapter has some bug ""wrapper can not do correctly percentEncoing of URL query data """,Defect
SomeTimes we see jumping problem for using this type reload. Please check this carefully. Suppose you scroll down and go anOther page then again come.,Defect
I have not seen any jumping problem here. I also applied this type of reload in anOther feature and had not seen.,Defect
"Please define levels here 
#define BATTERY_ALMOST_GONE 4
#define BATTERY_VERY_LOW 9
#define BATTERY_LOW 29
#define BATTERY_MODERATE 54
#define BATTERY_HIGH
#define BATTERY_VERY_HIGH 100

if(batteryLevel>0 && batteryLevel == BATTERY_ALMOST_GONE)
 // TO DO 1
else if(batteryLevel> BATTERY_ALMOST_GONE && batteryLevel == BATTERY_VERY_LOW)
 // TO DO 2
...........
..........",Defect
DID is not available in STMS server. W will apply the DID as soon as it is available.,Defect
"Use separate 3 condition
1. OOBE state
2. Connected state
3. Disconnected state",Defect
"No network status changed Unit test is found. please, if network status is changed/updated then corresponding notification is raised.",Defect
"For LTR, if it is defined in xib file then it might not needed to assign textAlignment = left. 
@Zahidi: Please check in xib.",Defect
"In SGWidgetStore Constructor we initialized 4 maps

self.initializeModenWidgetNameMap()
self.initializeModenLiteWidgetNameMap()
self.initializeModenWidgetImagePathMap()
self.initializeModenLiteWidgetImagePathMap()

but when we want to save Ordered Widget List, then we don't need to initialize these maps because we are not using these maps while saving the widget data,  we only saves the widget_id & widget_order, they are provided by the functions parameter. So I think we shouldn't initialize an object of SGWidgetStore rather I made the function static (class method) to ignore executing unnecessary codes.",Defect
"Patch Set 1:

(1 comment)

I mentioned HTTP Manager crash in cause & measure ""Fixed an HTTP Manager crash issue occurred if host name is invalid.""

This crash occur only when notification service request app icon with invalid name.",Defect
It can't be accessed by this project and needs to updated as dev_gearfit,Defect
SGLogger can't be accessed by this project and needs to updated as dev_gearfit,Defect
"Patch Set 1: Code-Review-1

Crashes in SRTP call",Defect
"Patch Set 1:

The following change must be merged prior to attempting to merge this change.

Change 331871 [PTTApp][Added XMLParser for parsing group info after GMC Fetch for each group]",Defect
For this code harman App getting crashed,Defect
It is better to keep the stack implementation as it is maintained according to the MCPTT callbacks,Defect
"Without this change, when SBC server flag enable, the app getting crashed",Defect
"Patch Set 1: Verified-1 Code-Review-2

Still Crashing.",Defect
if regman is NULL. then forced unwrap will crash the app,Defect
